traveler_id,start_location,destination,days_stayed,budget_tier,pace,places_visited,famous_things_to_do,food_preference,restaurant,best_dish,transport_to_destination,transport_name,local_transport,rating
1,Chennai,"Agra & Taj Mahal, UP",7,Mid-Range,Fast,"Mathura Krishna Janmabhoomi, Fatehpur Sikri, Taj Mahal, Mehtab Bagh sunset","Marble-inlay souvenir shopping, Watching Taj sunrise, Exploring massive red-stone forts",Non-Vegetarian,Sheroes Hangout,Sweet Angoori Petha,Bus,Agra & Taj Mahal Intercity Express,private taxi,4.4
2,Ahmedabad,"Paris, France",7,Budget,Relaxed,"Notre-Dame Cathedral, Sacré-Cœur Basilica, Luxembourg Gardens","Picnicking in Luxembourg Gardens, Boutique shopping in Marais, Climbing the Eiffel Tower summit",Mixed,La Maison Rose Montmartre,Croque-monsieur,Train,Paris Intercity Express,RER train,4.5
3,Singapore,"Paris, France",7,Budget,Relaxed,"Louvre Museum, Eiffel Tower, Sacré-Cœur Basilica","Climbing the Eiffel Tower summit, Picnicking in Luxembourg Gardens",Mixed,L'As du Fallafel,Gourmet Falafel Pita,Bus,Paris Intercity Express,velib bicycle,4.6
4,Dubai,"Agra & Taj Mahal, UP",7,Luxury,Fast,"Mehtab Bagh sunset, Agra Fort, Taj Mahal, Fatehpur Sikri","Exploring massive red-stone forts, Marble-inlay souvenir shopping",Mixed,Esphahan Oberoi,Hot Mughlai chicken rolls,Flight,Silver Airways (3M) 3M-1890,walking,4.4
5,San Francisco,"New Delhi, Delhi NCR",7,Mid-Range,Relaxed,"Humayun's Tomb, Akshardham Temple, Red Fort, Qutub Minar","Exploring heritage Lodhi gardens, Tasting golgappa street foods",Vegetarian,Saravana Bhavan CP,Stuffed Mixed Paranthas,Train,New Delhi Intercity Express,private taxi,4.2
6,London,"Kolkata, West Bengal",7,Luxury,Relaxed,"Science City, Dakshineswar Kali Temple, Princep Ghat Boating","Riding a heritage Kolkata tram, Exploring Kumartuli clay artisan village, Watching Hooghly sunset at Princep Ghat",Vegetarian,Kusum Kathi Rolls,Chelomesh mixed platter,Flight,Air France AF-370,walking,4.5
7,Mumbai,"Agra & Taj Mahal, UP",7,Mid-Range,Moderate,"Fatehpur Sikri, Taj Mahal, Mathura Krishna Janmabhoomi, Mehtab Bagh sunset","Watching Taj sunrise, Exploring massive red-stone forts",Mixed,Pinch of Spice,Sweet Angoori Petha,Flight,American Airlines AA-1032,auto-rickshaw,4.8
8,Pune,"Agra & Taj Mahal, UP",7,Budget,Relaxed,"Mathura Krishna Janmabhoomi, Mehtab Bagh sunset, Taj Mahal, Tomb of Akbar","Marble-inlay souvenir shopping, spiritual chanting at temples",Local,Pinch of Spice,Sweet Angoori Petha,Flight,American Airlines AA-935,e-rickshaw,5.0
9,Singapore,"Kolkata, West Bengal",7,Budget,Fast,"Indian Museum, Dakshineswar Kali Temple, Science City","Exploring Kumartuli clay artisan village, Riding a heritage Kolkata tram, Taking a yellow taxi ride over Howrah Bridge",Mixed,6 Ballygunge Place Bengali,Chelomesh mixed platter,Train,Kolkata Intercity Express,heritage tram,5.0
10,Chennai,"New Delhi, Delhi NCR",7,Luxury,Moderate,"Lotus Temple, India Gate memorial, Humayun's Tomb, Qutub Minar","Rickshaw ride in Chandni Chowk lanes, Tasting golgappa street foods, Bargain shopping in Connaught Place",Mixed,Paranthe Wali Gali,Sweet Shahi Tukda,Flight,Silver Airways (3M) 3M-2543,e-rickshaw,4.7
